,Body
0,
1,"Ich bin begeistert von den STANDARD - Newslettern.
In keiner anderen E-Zeitung gibt es eine solche Viel=
falt und so interessante Kommentare bzw. eine so
genaue Berichterstattung. 
     Macht weiter so, ich finde es jedenfalls toll.


                                    Johann Radakovits"
2,"... Aber momentan funktioniert das Abmelden oder Adressen ändern überhaupt nicht! In USA macht 
man dies auf den Servern einfacher.

Ansonsten ist DER STANDARD ja wirklich das Beste, was es in Österreich gibt...
Weiter im ""Text""
;-)carpeDiem(-;
"
3,"Es ist ganz einfach nervend!
Vor kurzem habe ich den news-letter angemeldet in der hoffnungsvollen Gewissheit (weil vertrauenserweckend angekündigt), ihn jederzeit wieder stornieren zu können. Aber leider führt kein Weg dahin. Ich wäre dankbar für eine diesbezügliche Hilfe des Lesers dieser eMail."
4,und sie als mitarbeiter sind natuerlich objektiv
5,...ist dieser newsletterservice - und deshalb wird er von mir gerne  weiterempfohlen. die printausgabe kommt jedoch  keineswegs zu kurz. der standard -  die von mir bevorzugte tageszeitung in österreich.
6,
7,"eine Zusammenfassung aller Kommentare.
Das wäre fein."
8,"Wenn ich in meinen Einstellungen oder hier meine Newsletter Abos veränder,und dann speicher,wird das Fenster ""dunkel"" und zeigt nichts an,und ändert die Abos nicht :-("
9,"kann das bestätigen, bei mir funktioniert's auch nicht, weder mit IE noch mit firefox :-("
10,"derstandard.at-webmaster hat mir geschrieben, daß es wieder funktioniert, und das hat es, jetzt, bei mir. :-)"
11,"Ja stimmt,der Newsletter geht wirklich wieder!Vielen dank das sie es mir gesagt haben!"
12,bei mir ist alles lesbar. Aber auch hier wie immer 99% Fehler sitzen vor dem Rechner :-))
13,per RSS feed
14,"Bitte, wieso gibt es keinen Kulturnewsletter? Interessiert das sonst niemanden?"
15,rss gibts: http://derstandard.at/?id=1850853
16,
17,"Oh, ja bitte.... ein Kultur-Newsletter wäre echt super! Kann mich da nur anschliessen!"
18,"wäre ganz toll !
Brauchbare Kulturinfos als Newsletter habe ich noch nirgendwo gefunden. 
Der Standard ist doch 
 - die (meiner Meinung nach) beste Tageszeitung in Österreich
 - immer schon Trendsetter gewesen
 - lila (und damit auch anders)
Wäre doch toll als erste Tageszeitung einen Kultur-Newsletter zu schaffen und damit den Anspruch auf Anspruch zu unterstreichen. Die Unkultur könnt Ihr ja getrost bei der Kronen-Zeitung lassen. Die hat auch das richtige Format um am Klo gelesen zu werden. "
19,"Also, auch wenn Weihnachten schon vorbei ist, ich wünsche mir einen WISSENSCHAFTS-Newsletter.

Würde mir sogar einen Obulus Wert sein, wenn der nicht zu groß ist, echt!"
20,"Ich moechte meine Registrierung loeschen.
Anscheinend gibt es dazu keine Anleitung.
Wie mache ich das also?"
21,"Diesem Weihnachtswunsch nach einem Wissenschafts-Newsletter schließe ich mich gern an! Vorschlag: wöchentlich.

Danke im Voraus!!"
22,
23,
24,"Ja, über einen wöchentlichen kultir newsletter würde ich mich auch freuen!!!"
25,ich würde gern mein newsletter-abo abmelden..kann mir jemand sagen wie das geht
26,Ist im Neuen Jahr der wöchentliche Newsletter eingestellt worden? Ich jedenfalls hab noch keinen erhalten.
27,"einfach http://derstandard.at/?id=1122713 aufrufen, sich anmelden und auswählen welche Newsletter man erhalten bzw. nicht mehr erhalten möchte"
28,"sorry, meinte natürlich diese Adresse aufrufen:
http://derstandard.at/Newsletter"
29,"Ja, ja, der Standard!"
30,Nein!!
31,Wie kann ich mein newsletter-abo abmelden?
32,Ab sofort gibt es auch ein D-Mail Kultur.
33,"Kommentare, Kolumnen, Kommentare der anderen bekommen Sie im neuen D-Mail Meinung."
34,ja ja ... so ist es.
35,
36,nicht zu verwechseln mit dem A-Loch
37,"Wie wärs mit einem _funktionierenden_ RSS Feed? Ich hab nichts davon, wenn ich nur die Headlines via RSS lesen kann und für dne Rest vom Artikel dann erst die Website aufmachen muss. Warum kanns nicht die vollkständigen Artikel via RSS geben?"
38,
39,"Aber es gehört zum Standard, täglich diese Zeitung zu lesen. Nur bedauere ich als Kärntner, dass die zuständige Redakteurin das hohe Niveau des ""Standard"" vermissen lässt. Da solltem an sich in der Chefetage etwas überlegen."
40,"Wie wäre es mit einer goldenen Uhr? Würde ich mir schon einige zerquetschen Euro kosten lassen! 
hermann"
41,ging ja flott .-)
42,"Habe mich gerade für den newsletter angemeldet, doch der eigentliche Grund dafür wären die wissenschafts Informationen gewäsen, nun frage ich mich ob das noch möglich ist...?"
43,krieg sie trotz entfernten Hakerln immer noch! Was mach ich falsch??
44,"Habe mich auch gerade angemeldet und Daten eingegeben und ähnliches!

Wünsche allen faire Bewertungen, akzeptierte Meinungsfreiheit und natürlich Spaß!"
45,"Hm...
Ich sehe mein Kommentar noch nicht, oder dauert das nur etwas länger?"
46,
47,
